time,open,high,low,close,volume
2012-02-12,447.47,464.73,447.47,458.23,92330100
2012-02-19,446.23,451.22,439.63,451.22,68481240
2012-02-26,459.71,483.72,459.17,477.77,115568190
2012-03-04,471.23,503.74,476.39,503.54,130594410
2012-03-11,495.45,534.73,478.99,487.03,164739940
2012-03-18,483.35,511.8,476.12,496.87,159126780
2012-03-25,492.57,514.52,491.02,512.84,125195250
2012-04-01,517.02,518.09,493.89,500.07,125338880
2012-04-08,499.97,515.13,498.44,511.51,83851460
2012-04-15,516.64,540.93,513.8,532.3,156029820
2012-04-22,533.26,551.52,529.84,533.74,149880910
2012-04-29,535.39,544.92,528.84,541.2,100439700
2012-05-06,541.77,545.52,532.05,542.5,75613600
2012-05-13,548.0,561.45,546.4,547.94,149184850
2012-05-20,543.51,548.57,500.21,504.61,133549130
2012-05-27,507.94,523.83,499.93,514.27,87929050
2012-06-03,521.47,521.47,504.6,505.65,67987630
2012-06-10,503.83,515.88,490.63,508.15,99967930
2012-06-17,508.09,512.94,498.63,507.94,115539830
2012-06-24,512.35,514.55,499.4,500.34,76492420
2012-07-01,499.37,503.58,489.94,497.73,68576660
2012-07-08,496.45,498.47,483.75,490.64,55634540
2012-07-15,487.62,492.36,479.15,492.36,49990070
2012-07-22,493.47,507.98,484.62,497.43,87439940
2012-07-29,496.99,500.33,487.63,489.61,68266220
2012-08-05,486.88,498.31,486.57,497.38,42020270
2012-08-12,497.9,509.28,497.9,506.6,53948960
2012-08-19,505.09,518.84,504.37,515.55,74454690
2012-08-26,517.47,521.75,446.14,472.75,129713400
2012-09-02,466.52,468.59,446.83,465.29,78439080
2012-09-09,466.57,475.95,462.41,465.94,49221620
2012-09-16,463.93,465.94,449.61,463.9,76769870
2012-09-23,464.18,473.64,445.4,457.53,103584110
2012-09-30,455.45,463.75,453.84,456.48,49946260
2012-10-07,454.82,455.27,447.35,453.2,57669540
2012-10-14,453.12,465.2,452.48,460.18,82375710
2012-10-21,459.56,474.49,459.56,471.26,84135930
2012-10-28,470.72,471.43,459.23,462.16,49035790
2012-11-04,460.57,463.25,441.43,441.9,56176590
2012-11-11,437.29,456.99,437.22,457.23,55452060
2012-11-18,455.92,461.97,452.1,455.67,51343010
2012-11-25,454.07,456.43,449.13,449.73,37781260
2012-12-02,450.54,450.64,439.34,443.68,28090180
2012-12-09,443.6,452.56,440.44,449.81,33606320
2012-12-16,453.05,463.0,452.14,460.74,56819510
2012-12-23,459.33,469.75,459.33,465.24,130958010
2012-12-30,465.35,485.38,463.72,485.38,89824660
2013-01-06,480.73,499.85,483.84,498.31,75479650
2013-01-13,501.01,556.64,498.54,545.72,183440420
2013-01-20,538.43,552.11,529.51,534.97,147117480
2013-01-27,534.72,547.31,518.93,547.31,77590780
2013-02-03,551.84,577.0,551.84,566.09,140742330
2013-02-10,567.61,576.47,556.83,574.18,87538580
2013-02-17,,,,,0
2013-02-24,573.38,578.57,542.52,551.33,119761390
2013-03-03,555.47,558.9,529.76,547.7,85279890
2013-03-10,546.93,549.47,525.8,540.01,66749740
