,Close
532,63.21
533,62.28
534,61.65
535,60.17
536,60.48
537,60.85
538,60.59
539,60.63
540,62.17
541,61.97
542,62.64
543,62.26
544,63.0
545,62.72
546,64.23
547,64.33
548,64.06
549,64.1
550,63.77
551,64.22
552,64.83
553,65.22
554,64.28
555,64.31
556,64.79
557,64.63
558,65.52
559,66.12
560,65.67
561,65.84
562,66.37
563,66.41
564,66.36
565,65.31
566,67.28
567,67.15
568,67.72
569,68.1
570,65.41
571,66.48
572,65.82
573,63.72
574,62.93
575,64.15
576,64.3
577,64.48
578,64.25
579,64.37
580,63.72
581,63.94
582,63.98
583,64.62
584,64.74
585,65.27
586,65.82
587,65.76
588,65.15
589,65.84
590,65.7
591,66.05
592,65.65
593,65.74
594,65.85
595,65.83
596,66.81
597,66.86
598,66.53
599,67.16
600,67.08
601,66.99
602,67.84
603,68.4
604,68.0
605,68.38
606,67.53
607,68.7
608,68.26
609,67.73
610,67.89
611,66.87
612,67.56
613,67.09
614,66.69
615,66.66
616,67.49
617,68.19
618,68.25
619,67.88
620,67.45
621,66.0
622,66.45
623,66.28
624,66.54
625,65.6
626,65.06
627,65.52
628,65.67
629,65.22
630,65.54
631,64.75
632,64.94
633,65.07
634,64.72
635,65.54
636,66.44
637,66.54
638,66.37
639,66.41
640,65.26
641,64.22
642,64.7
643,64.1
644,64.53
645,64.6
646,64.85
647,64.95
648,65.48
649,65.04
650,64.56
651,64.78
652,64.43
653,63.62
654,63.67
655,64.26
656,64.27
657,65.02
658,64.74
659,64.42
660,64.96
661,65.38
662,65.61
663,65.44
664,66.02
665,66.03
666,65.82
667,65.75
668,66.62
669,67.01
670,67.58
671,67.47
672,67.47
673,66.9
674,65.65
675,65.41
676,65.77
677,65.79
678,65.93
679,65.89
680,66.69
681,66.52
682,66.48
683,66.77
684,65.46
685,66.57
686,66.26
687,66.29
688,66.13
689,64.68
690,65.11
691,65.12
692,65.07
693,65.4
694,65.31
695,66.11
696,65.98
697,65.59
698,66.07
699,65.8
700,66.52
701,67.44
702,67.56
703,68.86
704,69.39
705,69.62
706,70.52
707,70.46
708,70.08
709,69.99
710,70.97
711,71.7
712,71.43
713,72.72
714,72.34
715,72.28
716,72.33
717,72.0
718,72.7
719,73.51
720,73.9
721,72.35
722,71.9
723,72.87
724,73.4
725,72.53
726,73.09
727,73.36
728,73.91
729,74.59
730,75.14
731,75.12
732,74.5
733,76.0
734,75.7
735,74.6
736,75.23
737,75.52
738,76.03
739,77.69
740,78.12
741,77.35
742,78.62
743,77.93
744,79.83
745,79.75
746,81.43
747,82.24
748,82.23
749,82.18
750,78.3
751,79.12
752,80.28
753,77.95
754,77.75
755,77.24
756,79.47
757,79.36
758,81.25
759,81.3
760,80.1
761,79.57
762,78.28
763,77.32
764,78.28
765,79.4
766,78.63
767,79.37
768,78.6
769,80.0
770,78.84
771,80.49
772,78.5
773,78.52
774,78.13
775,79.25
776,79.24
777,78.67
778,80.1
779,80.14
780,81.52
781,81.56
782,83.0
783,82.46
784,84.86
785,85.57
786,85.13
787,84.77
788,86.78
789,86.5499
790,88.25
791,88.58
792,89.5399
793,87.99
794,86.7
795,86.5001
796,87.42
797,88.1699
798,87.89
799,90.08
800,90.3
801,91.75
802,91.15
803,92.0601
804,91.4
805,89.3499
806,89.1
807,87.68
808,88.9499
809,89.85
810,91.0
811,91.33
812,89.33
813,89.44
814,89.71
815,89.15
816,91.58
817,93.24
818,93.25
819,93.39
820,92.74
821,93.71
822,94.78
823,95.99
824,96.18
825,97.24
826,95.18
827,97.72
828,96.5
829,96.09
830,95.87
831,95.99
832,97.01
833,98.34
834,98.71
835,99.17
836,96.5
837,93.0399
838,89.9128
839,90.1001
840,92.73
841,93.8
842,93.46
843,91.88
844,90.41
845,86.8599
846,89.27
847,89.42
848,90.25
849,91.17
850,90.35
851,92.29
852,91.77
853,91.3
854,91.11
855,91.66
856,93.27
857,92.56
