,Close
532,108.31
533,105.63
534,106.95
535,104.26
536,105.92
537,102.26
538,103.06
539,103.05
540,100.65
541,98.98
542,103.95
543,112.17
544,109.05
545,107.02
546,110.99
547,111.27
548,109.2
549,108.99
550,108.68
551,110.89
552,106.91
553,109.14
554,110.92
555,110.95
556,108.5
557,113.12
558,113.75
559,113.66
560,114.59
561,116.84
562,116.82
563,114.95
564,109.92
565,109.65
566,114.34
567,117.39
568,117.48
569,112.39
570,109.25
571,105.53
572,104.44
573,106.67
574,103.32
575,100.02
576,101.46
577,99.27
578,100.54
579,98.04
580,102.13
581,99.99
582,101.04
583,97.52
584,95.59
585,95.42
586,96.4401
587,92.89
588,92.65
589,91.57
590,93.97
591,92.77
592,91.97
593,91.17
594,92.91
595,93.9
596,97.15
597,92.67
598,93.13
599,93.9
600,95.54
601,93.39
602,93.4
603,89.09
604,88.4495
605,86.99
606,86.0
607,85.93
608,82.35
609,83.1
610,81.42
611,81.11
612,76.14
613,75.0
614,77.8
615,79.34
616,82.97
617,87.6
618,86.25
619,84.8399
620,86.71
621,86.35
622,76.96
623,82.0
624,79.72
625,75.76
626,75.25
627,71.8
628,72.55
629,72.23
630,69.47
631,66.39
632,67.6
633,65.3
634,60.91
635,59.44
636,59.15
637,61.65
638,58.77
639,54.86
640,56.6
641,53.0
642,50.96
643,53.0
644,55.79
645,53.84
646,55.46
647,52.49
648,57.278
649,53.64
650,50.13
651,50.08
652,51.1
653,48.25
654,45.9
655,49.0
656,46.18
657,45.0
658,44.55
659,43.4
660,39.55
661,41.0
662,44.13
663,41.36
664,44.54
665,42.09
666,39.89
667,38.5
668,38.05
669,35.41
670,34.25
671,36.12
672,34.45
673,35.81
674,38.64
675,38.1
676,36.841
677,36.44
678,34.81
679,32.73
680,33.06
681,30.63
682,30.0
683,29.024
684,29.1
685,30.92
686,30.2
687,33.1
688,35.63
689,37.3
690,37.25
691,33.27
692,33.2
693,32.37
694,30.65
695,31.84
696,31.23
697,30.18
698,29.86
699,28.66
700,31.03
701,30.02
702,32.33
703,32.14
704,29.5
705,29.75
706,29.22
707,29.22
708,28.4
709,28.87
710,28.27
711,28.81
712,28.2
713,28.25
714,26.91
715,26.08
716,26.13
717,25.6
718,23.46
719,22.86
720,24.28
721,24.35
722,23.32
723,24.44
724,26.0
725,27.23
726,27.05
727,24.48
728,25.39
729,27.61
730,26.56
731,27.99
732,28.65
733,27.83
734,26.3
735,28.231
736,27.63
737,28.25
738,29.44
739,29.61
740,30.36
741,30.76
742,31.78
743,31.65
744,31.21
745,32.02
746,30.75
747,28.7
748,29.05
749,28.58
750,30.98
751,30.93
752,30.23
753,28.94
754,29.49
755,30.69
756,29.68
757,29.21
758,29.31
759,29.29
760,29.45
761,27.22
762,27.33
763,27.34
764,27.88
765,28.9
766,28.08
767,27.85
768,28.56
769,28.63
770,29.62
771,30.56
772,30.15
773,31.43
774,31.49
775,32.49
776,32.29
777,32.63
778,32.19
779,32.4
780,31.3
781,32.71
782,32.79
783,33.87
784,33.38
785,33.7
786,34.11
787,34.582
788,35.34
789,36.4
790,37.43
791,37.61
792,36.25
793,37.69
794,37.4
795,37.54
796,38.19
797,38.97
798,39.68
799,39.43
800,38.52
801,38.51
802,38.7
803,38.85
804,37.97
805,36.25
806,37.41
807,37.09
808,38.05
809,37.51
810,38.67
811,37.93
812,37.46
813,36.05
814,34.71
815,33.81
816,32.57
817,32.77
818,32.377
819,32.37
820,32.11
821,33.47
822,33.56
823,34.24
824,34.83
825,34.94
826,34.81
827,35.79
828,36.221
829,36.32
830,35.76
831,33.47
832,35.49
833,36.81
834,37.92
835,37.97
836,38.2
837,38.27
838,37.65
839,37.71
840,36.86
841,37.35
842,37.8
843,36.03
844,35.52
845,36.86
846,38.12
847,37.67
848,38.23
849,38.3
850,37.17
851,36.95
852,37.72
853,37.66
854,36.05
855,35.27
856,35.18
857,35.32
858,35.13
859,36.94
860,36.94
861,37.37
862,35.82
863,35.71
864,36.7
865,37.43
866,37.49
867,37.12
868,35.85
869,36.98
870,35.13
871,33.97
872,34.0
873,34.51
874,34.31
875,36.19
876,36.23
877,35.87
878,36.18
879,36.54
880,35.96
881,36.68
882,37.16
883,37.69
884,38.15
885,38.61
886,39.91
887,40.45
888,40.76
889,40.39
890,41.33
891,41.47
892,40.91
893,40.13
894,40.59
895,39.46
896,40.9
897,39.32
898,39.97
899,40.62
900,40.99
901,40.8
902,39.7
903,40.5
904,40.41
905,40.55
906,39.27
907,39.12
908,40.29
909,40.48
910,40.67
911,39.66
912,39.42
913,39.38
914,38.58
915,39.5
916,38.5
917,39.15
918,39.62
919,38.84
920,38.52
921,38.33
922,37.49
923,36.85
924,35.87
925,35.73
926,35.48
927,35.58
928,35.93
929,36.74
930,36.36
931,36.66
932,36.16
933,36.56
934,37.74
935,38.2
936,38.86
937,38.84
938,39.14
939,39.28
940,40.27
941,40.41
942,40.97
943,40.72
944,40.93
945,40.54
946,39.63
947,39.21
948,39.06
949,38.4
950,38.93
951,37.89
952,37.24
953,36.34
954,36.81
955,36.5
956,36.08
957,36.16
958,35.64
959,36.72
960,37.5284
961,37.65
962,35.8
963,35.21
964,35.09
965,36.21
966,36.51
967,36.78
968,36.31
969,37.79
970,37.97
971,38.73
972,39.09
973,39.03
974,38.33
975,38.99
976,38.11
977,38.82
978,38.35
979,38.8
980,39.4
981,39.15
982,39.85
983,39.79
984,39.55
985,39.9
986,40.05
987,39.51
988,38.83
989,39.79
990,40.23
991,39.92
992,39.2
993,39.56
994,39.7
995,38.94
996,38.9
997,38.83
998,39.96
999,39.95
1000,40.29
1001,41.24
1002,42.07
1003,42.02
1004,41.52
1005,41.44
1006,41.17
1007,40.93
1008,40.89
1009,41.76
1010,41.71
1011,40.6
1012,40.11
1013,40.3
1014,40.27
1015,40.3
1016,40.95
1017,40.35
1018,39.37
1019,39.97
1020,41.04
1021,41.33
1022,41.46
1023,39.7
1024,38.31
1025,36.9599
1026,36.31
1027,37.23
1028,36.76
1029,36.77
1030,36.13
1031,34.81
1032,33.88
1033,33.47
1034,33.51
1035,32.2
1036,32.27
1037,32.17
1038,31.85
1039,32.59
1040,34.31
1041,34.039
1042,33.18
1043,33.79
1044,34.26
1045,32.68
1046,32.59
1047,33.19
1048,33.95
1049,34.77
1050,34.23
1051,34.33
1052,35.23
1053,35.49
1054,35.14
1055,35.41
1056,35.33
1057,35.0
1058,34.24
1059,34.39
1060,35.66
1061,35.21
1062,34.17
1063,33.96
1064,32.87
1065,32.6
1066,32.61
1067,33.65
1068,34.23
1069,34.34
1070,33.78
1071,34.74
1072,34.66
1073,34.58
1074,34.16
1075,34.46
1076,34.82
1077,34.2
1078,35.42
1079,35.39
1080,35.35
1081,34.67
1082,34.36
1083,35.06
1084,35.34
1085,36.48
1086,36.91
1087,36.9
1088,36.71
1089,36.2
1090,36.53
1091,35.87
1092,34.74
1093,33.92
1094,33.79
1095,33.61
1096,33.87
1097,33.68
1098,33.25
1099,32.95
1100,32.43
1101,31.77
1102,32.37
1103,32.62
1104,33.57
1105,33.02
1106,31.92
1107,32.95
1108,33.39
1109,33.09
1110,32.77
1111,33.14
1112,32.89
1113,33.77
1114,34.03
1115,33.89
1116,33.49
1117,32.98
1118,32.65
1119,33.219
1120,32.65
1121,32.58
1122,32.67
1123,33.4
1124,33.24
1125,33.19
1126,33.94
1127,34.84
1128,35.63
1129,35.59
1130,36.09
1131,36.28
1132,35.46
1133,36.15
1134,35.6
1135,35.65
1136,36.16
1137,36.0
1138,35.47
1139,36.28
1140,34.62
1141,35.59
1142,34.85
1143,35.49
1144,35.57
1145,35.68
1146,35.42
1147,35.39
1148,35.17
1149,35.81
1150,36.27
1151,36.74
1152,37.49
1153,37.65
1154,37.53
1155,37.05
1156,38.04
1157,37.84
1158,36.47
1159,36.5
1160,35.45
1161,34.73
1162,35.5
1163,35.22
1164,35.05
1165,34.95
1166,36.08
1167,35.97
1168,36.78
1169,36.04
1170,37.2
1171,37.77
1172,38.31
1173,38.22
1174,37.8
1175,37.96
1176,37.94
1177,37.66
1178,37.89
1179,37.9
1180,37.99
1181,37.765
1182,37.81
1183,38.05
1184,38.29
1185,38.64
1186,38.98
1187,38.71
1188,38.91
1189,38.82
1190,38.12
1191,39.0
1192,39.05
1193,38.08
1194,38.52
1195,37.68
1196,37.67
1197,38.17
1198,38.88
1199,38.99
1200,38.65
1201,38.92
1202,38.73
1203,38.54
1204,37.57
1205,37.51
1206,36.93
1207,36.27
1208,36.85
1209,35.94
1210,37.58
1211,38.61
1212,38.07
1213,38.18
1214,38.09
1215,37.34
1216,36.66
1217,36.64
1218,36.5
1219,36.54
1220,36.05
1221,35.88
1222,35.39
1223,35.53
1224,36.06
1225,36.36
1226,38.49
1227,39.8
1228,38.97
1229,39.68
1230,39.19
1231,40.48
1232,41.39
1233,41.18
1234,42.33
1235,42.37
1236,42.31
1237,42.05
1238,41.4
1239,40.69
1240,40.91
1241,39.39
1242,39.679
1243,40.6921
1244,40.97
1245,41.13
1246,41.93
1247,42.11
1248,42.05
1249,42.18
1250,41.42
1251,41.83
1252,41.66
1253,42.6
1254,43.17
1255,43.26
1256,43.1
1257,43.37
1258,43.99
1259,45.15
1260,43.64
1261,42.3
1262,42.75
1263,43.28
1264,43.71
1265,42.88
1266,42.95
1267,44.22
1268,44.57
1269,44.53
1270,44.48
1271,45.02
1272,44.83
1273,45.15
1274,44.93
1275,44.08
1276,43.26
1277,39.32
1278,38.87
1279,40.87
1280,41.08
1281,39.35
1282,39.28
1283,39.44
1284,38.51
1285,38.55
1286,39.5
1287,39.07
1288,39.47
1289,38.47
1290,39.28
1291,39.93
1292,39.6
1293,39.71
1294,40.5
1295,39.52
1296,39.68
1297,39.66
1298,39.0
1299,39.05
1300,39.85
1301,40.14
1302,39.07
1303,38.26
1304,39.1
1305,37.58
1306,37.42
1307,36.63
1308,36.72
1309,36.79
1310,37.1
1311,36.01
1312,35.81
1313,35.64
1314,36.42
1315,37.23
1316,37.24
1317,37.15
1318,37.96
1319,37.89
1320,38.61
1321,37.8
1322,37.29
1323,37.93
1324,38.35
1325,37.55
1326,38.13
1327,37.59
1328,38.25
1329,38.4
1330,38.72
1331,38.93
1332,38.68
