,Date,Open,High,Low,Close,Volume,GOLD,MA_20,EMA_20,MA_60,EMA_60,MA_120,EMA_120,MA_240,EMA_240,MAE_5,MAE_20,MAE_60,MAE_120,MACD,MACD_long,Signal,Signal_long,RSI,RSI_7,RSI_14,RSI_28
0,2000-09-01,377.75,377.75,377.75,377.75,0,277.0,372.8085006713867,370.1376203034052,350.4114990234375,354.9555528664586,338.30641606648766,341.99893608009967,323.528249613444,331.7421048546594,4.41400146484375,3.714501953125,4.335333760579427,5.575082651774088,5.896807096822556,12.95661678635895,6.4010252475881675,8.96948412295717,49.46274264642881,57.88138099041886,49.46274264642881,60.51974901386906
1,2000-09-05,379.75,379.75,379.75,379.75,0,277.0,373.1635009765625,371.05308503641425,351.0844991048177,355.76848555936164,339.0736661275228,342.62292060770136,323.8727912902832,332.14051062350035,3.75999755859375,3.7500015258789063,4.2636667887369795,5.447916158040365,5.967302047664475,13.145564951660276,6.314280607603429,9.151052854639914,56.4718914459391,66.90193455501833,56.4718914459391,64.20020120086215
2,2000-09-06,382.3500061035156,382.3500061035156,382.3500061035156,382.3500061035156,0,277.0,373.68500061035155,372.1289822809001,351.7763326009115,356.6400108231044,339.65283279418946,343.2795666489545,324.22129135131837,332.5571869345378,3.815997314453125,3.8435028076171873,4.282500203450521,5.259832763671875,6.161937586665317,13.360444174149848,6.283812003415807,9.33406986853165,65.35200214724259,77.27786086417224,65.35200214724259,63.34695817860886
3,2000-09-07,382.3399963378906,382.3399963378906,382.3399963378906,382.3399963378906,0,277.0,374.2190002441406,373.1014598101373,352.4153325398763,357.48263329899896,340.2279993693034,343.9251935859618,324.590749613444,332.97032228228346,3.344000244140625,3.8310028076171876,4.230000305175781,5.255999501546224,6.243409807295166,13.557439713037184,6.275731564191679,9.517694644379716,61.31161017045908,71.64873290068034,61.31161017045908,67.7716004007498
4,2000-09-08,389.8599853515625,389.8599853515625,389.8599853515625,389.8599853515625,0,273.29998779296875,375.3190002441406,374.69750986170163,353.09466552734375,358.5441858253125,340.92424926757815,344.684446342418,324.98795789082845,333.44243566875053,3.1739990234375,4.017001342773438,4.270333353678385,5.260249328613281,6.835976513354524,13.859739482894497,6.387780554024248,9.706479202576013,70.05937327205649,85.90754579359509,70.05937327205649,68.35939855409168
5,2000-09-11,396.6300048828125,396.6300048828125,396.6300048828125,396.6300048828125,0,273.29998779296875,376.46399993896483,376.78631891133125,354.06216583251955,359.7929012042469,341.5809992472331,345.543050615813,325.42345797220867,333.9668138365021,3.7800048828125,4.062001037597656,4.207833353678385,5.2207494099934895,7.7623938495023594,14.249850588433901,6.662703213119871,9.90401708891766,71.44473383448593,87.90713054158104,71.44473383448593,69.50977590213765
6,2000-09-12,396.7099914550781,396.7099914550781,396.7099914550781,396.7099914550781,0,273.29998779296875,377.38099975585936,378.68381153454527,355.2824991861979,361.0032976059135,342.21016591389974,346.38878517513973,325.8383328755697,334.4875041071957,3.396002197265625,3.834001159667969,3.957666524251302,5.193166097005208,8.406139764220654,14.614512430773743,7.011390523340028,10.108821234215752,69.82033017437037,83.49471919665703,69.82033017437037,70.39747857625109
7,2000-09-13,393.69000244140625,393.69000244140625,393.69000244140625,393.69000244140625,0,273.29998779296875,378.42799987792966,380.1129725732939,356.33233235677085,362.0749928464214,342.7047492980957,347.1706234770615,326.2562494913737,334.97881114731365,3.479998779296875,3.7040008544921874,3.8878326416015625,5.10891596476237,8.573791830054915,14.904369369359927,7.323870784683006,10.317323327048108,70.43895874045943,86.2272782759233,70.43895874045943,66.20053063360285
8,2000-09-14,393.1400146484375,393.1400146484375,393.1400146484375,393.1400146484375,0,273.29998779296875,379.7460006713867,381.35364324711713,357.40233256022134,363.09351815140553,343.19524943033855,347.9304481245223,326.6329995473226,335.46147673653456,3.587994384765625,3.433000183105469,3.8676656087239585,5.112999216715495,8.563562464189033,15.163070026883247,7.571809120584212,10.528007966171376,73.68866670909684,82.57913041928653,73.68866670909684,61.24536516774264
9,2000-09-15,385.19000244140625,385.19000244140625,385.19000244140625,385.19000244140625,0,272.29998779296875,380.40250091552736,381.7190107894304,358.4179992675781,363.81799304615964,343.6910827636719,348.54630852645425,326.9706662495931,335.8741615971559,3.6739990234375,3.5665008544921877,3.9219991048177083,5.107666015625,7.823768540352148,15.271684519705389,7.622201004537799,10.734254772846768,66.53986325433324,55.48261970493384,66.53986325433324,56.05797335624558
