,Date,Open,High,Low,Close,Volume,VIX,US10Y,DXY,OIL,GOLD,CPI_US,MA_20,EMA_20,MA_60,EMA_60,MA_120,EMA_120,MAE_5,MAE_20,MACD,MACD_long,Signal,Signal_long,RSI,RSI_7,RSI_14,RSI_28
0,2011-01-04,219.69000244140625,220.25999450683594,217.49000549316406,219.19000244140625,12313800,79.23,93.75,22.88,38.08,134.75,25.4999,212.21600112915038,212.17046552442162,203.2635004679362,205.20151234480528,198.39166679382325,201.7423883921701,1.5399993896484374,1.6980010986328125,4.085661826030531,3.459123952635167,3.6743587188161846,1.1474611605262337,72.69766491179013,79.15021297448075,72.69766491179013,75.3748909334292
1,2011-01-05,219.16000366210938,221.6300048828125,218.4600067138672,221.25,10011000,77.5499,92.74,23.11,38.52,134.37,25.3601,213.10550079345703,213.03518309352432,203.66066716512043,205.72769226792641,198.65275014241536,202.06482825345657,1.865997314453125,1.7975013732910157,4.305860282655999,3.6628640144698466,3.8006590315841478,1.2568265020020428,81.22127596372644,78.8577002640475,81.22127596372644,74.82854642080267
2,2011-01-06,221.8000030517578,222.33999633789062,220.25,220.41000366210938,14465000,77.88,93.22,23.2875,37.68,133.83,25.45,213.76900100708008,213.7375469571991,204.0023338317871,206.20907952675208,198.9064168294271,202.368054293269,1.841998291015625,1.6555015563964843,4.362302553255546,3.841025233483066,3.9129877359184277,1.3691829685881742,77.72253299804939,72.1698160738526,77.72253299804939,76.97094752624068
3,2011-01-07,220.41000366210938,221.30999755859375,215.77000427246094,217.22999572753906,12048400,78.04,93.84,23.3625,37.67,133.58,25.33,214.1395004272461,214.0701611258029,204.29116719563802,206.57042104153197,199.11541684468588,202.6137062178024,2.38800048828125,1.6805015563964845,4.103135009192528,3.956714823729584,3.951017190573248,1.4816843535943225,67.20579352097573,57.303364365273936,67.20579352097573,71.98900218405898
4,2011-01-10,218.3800048828125,218.4499969482422,216.1199951171875,217.72999572753906,10650000,77.88,94.16,23.2825,38.17,134.12,25.395,214.44250030517577,214.4187168021587,204.64883371988932,206.93630873615513,199.35725008646648,202.86356224275673,1.4600006103515626,1.6130020141601562,3.893210181118178,4.072746493398398,3.9394557886822343,1.594339229237978,66.83023820534376,63.2272636337701,66.83023820534376,73.21391783382374
5,2011-01-11,217.72999572753906,220.02999877929688,217.72999572753906,218.8300018310547,9198200,75.726,93.79,23.265,38.88,134.91,25.4,214.7520004272461,214.8388391858631,205.0806671142578,207.32626588680756,199.55950012207032,203.1274703351253,1.5360015869140624,1.6195022583007812,3.7721218690199407,4.198795551682252,3.9059890047497756,1.7075764606485988,63.35290150960412,64.99259599845834,63.35290150960412,71.56287710561428
6,2011-01-12,218.82000732421875,222.49000549316406,218.82000732421875,222.49000549316406,12289400,72.35,93.52,23.0375,38.99,135.46,25.46,215.40500106811524,215.5675216913203,205.49833399454752,207.82343767717992,199.78075014750164,203.44751223856397,1.8560028076171875,1.6420021057128906,3.926231069122366,4.375925438615951,3.910037417624294,1.8235916336037012,65.40100483932075,60.69651363610484,65.40100483932075,70.6301176084751
7,2011-01-13,222.49000549316406,222.9199981689453,220.91000366210938,221.58999633789062,11926200,71.5,94.15,22.8,38.65,134.05,25.432,216.10200119018555,216.1410907052794,205.94716720581056,208.2748002562196,199.96916681925455,203.74738800880078,1.86800537109375,1.5980026245117187,3.9304329192763134,4.527412247418823,3.914116517954698,1.941149051595663,68.55990943006864,59.80388001426146,68.55990943006864,68.88934182467983
8,2011-01-14,221.58999633789062,225.64999389648438,221.4499969482422,225.42999267578125,12725400,68.55,93.89,22.77,38.92,132.69,25.422,216.96650085449218,217.02574803580336,206.42366714477538,208.83726558145113,200.187833404541,204.1057781685856,2.0000030517578127,1.7655021667480468,4.195258202969086,4.731487412865533,3.9703448549575757,2.06246811078131,70.70829346447407,64.90722843311391,70.70829346447407,71.88247082414473
9,2011-01-18,225.4199981689453,225.4199981689453,222.77000427246094,224.0,20307000,66.464,93.66,22.7475,38.73,133.43,25.46,217.73050079345703,217.68996250858402,206.88250045776368,209.33440441484618,200.4101666768392,204.43460828150157,2.1860015869140623,1.808001708984375,4.2408596994983725,4.8997961333446085,4.024447823865735,2.1858301987188447,66.44187044498636,62.286079529432406,66.44187044498636,69.98052279420867
10,2011-01-19,223.67999267578125,223.67999267578125,218.3800048828125,218.75999450683594,14741400,69.92,93.9,22.61,38.54,133.72,25.49,218.19350051879883,217.79187031794135,207.25166702270508,209.64344015556713,200.5834166208903,204.67139152489554,3.01400146484375,2.0310020446777344,3.8102523460481166,4.972048630671594,3.981608728302212,2.306970130542877,55.79612796846178,54.589074825672824,55.79612796846178,60.97052832352289
11,2011-01-20,218.75999450683594,220.6199951171875,218.05999755859375,220.25,11581800,69.31,93.17,22.68,37.57,131.2,25.36,218.56000061035155,218.02597790670885,207.65900039672852,209.99119621604032,200.7694999694824,204.92888918564108,2.5800018310546875,1.934502410888672,3.548321070337522,5.062307030399239,3.8949511967092745,2.4267673870583715,59.70538317768212,57.134772289170165,59.70538317768212,60.07338477164303
12,2011-01-21,219.83999633789062,222.69000244140625,219.83999633789062,221.67999267578125,14809800,69.97,93.48,22.49,37.51,131.03,25.4,218.88050003051757,218.37397931328715,208.08600031534831,210.37443544422854,200.92516657511393,205.20576692927978,2.68599853515625,1.8885017395019532,3.4167410413349444,5.168668514948763,3.799309165634409,2.5459804795753453,60.95779468251038,57.92103939548411,60.95779468251038,59.74682024689201
13,2011-01-24,221.67999267578125,222.0800018310547,220.99000549316406,221.77000427246094,6560000,68.46,93.49,22.44,36.93,130.36,25.43,219.30450057983398,218.69741026177988,208.51150029500326,210.74806065171157,201.10049997965496,205.4795559762745,1.9360015869140625,1.7940017700195312,3.2818944674488364,5.268504675437072,3.6958262259972945,2.6643510967867248,53.512082263692136,47.503465498449785,53.512082263692136,59.04497089435683
14,2011-01-25,221.4600067138672,221.52000427246094,218.33999633789062,220.97999572753906,12066200,67.5894,93.96,22.425,36.27,130.1,25.33,219.57900009155273,218.91479935375693,208.92533365885416,211.08353393288624,201.2646666208903,205.73576159199789,1.8080047607421874,1.7235015869140624,3.0758243109067394,5.347772340888355,3.571825842979184,2.781021585660709,53.37098121073597,47.86862311677814,53.37098121073597,62.01871763465903
15,2011-01-26,220.9499969482422,222.13999938964844,220.5399932861328,220.74000549316406,9947600,65.48,93.39,22.385,36.85,131.16,25.41,219.83050003051758,219.08862850989095,209.340500386556,211.4001395578134,201.43316663106282,205.98376562342213,0.808001708984375,1.7245010375976562,2.860176684538658,5.41637393439126,3.4294960112910786,2.895602122562037,48.968875928838465,28.104648727508973,48.968875928838465,64.07223819036423
16,2011-01-27,220.7100067138672,222.25,220.6999969482422,222.1999969482422,5479200,64.25,93.74,22.35,35.94,127.925,25.32,220.17649993896484,219.38494931354344,209.78050028483074,211.75423324274547,201.6275833129883,206.25180250482413,0.8019989013671875,1.7760002136230468,2.7750939402446306,5.502430737921344,3.298615597081789,3.0089424971428764,53.53055577458905,41.62010181045298,53.53055577458905,64.80621869026484
